id_txn,id_comercio,id_cliente,fecha_hora,monto_total,costo_estimado,ganancia_neta,categoria_compra,estado,metodo_pago
TXN-000040,COM-001,CLI-1-053,2025-05-02 12:30,3.75,2.52,1.23,Bebidas,Exitosa,QR Deuna
TXN-000041,COM-001,CLI-1-079,2025-05-02 18:21,3.75,2.62,1.13,Bebidas,Exitosa,QR Deuna
TXN-000042,COM-001,CLI-1-047,2025-05-02 12:55,1.25,0.87,0.38,Bebidas,Exitosa,QR Deuna
TXN-000043,COM-001,CLI-1-068,2025-05-02 08:29,5.0,3.32,1.68,Granos,Exitosa,Transferencia
TXN-000044,COM-001,CLI-1-031,2025-05-02 12:49,2.5,1.63,0.87,Bebidas,Exitosa,QR Deuna
TXN-000045,COM-001,CLI-1-092,2025-05-02 18:25,0.7,0.46,0.24,Snacks,Exitosa,QR Deuna
TXN-000046,COM-001,CLI-1-069,2025-05-02 10:46,7.5,4.9,2.6,Granos,Exitosa,QR Deuna
TXN-000047,COM-001,CLI-1-019,2025-05-02 12:50,3.75,2.46,1.29,Bebidas,Exitosa,Transferencia
TXN-000048,COM-001,CLI-1-023,2025-05-03 10:11,2.5,1.74,0.76,Bebidas,Exitosa,QR Deuna
TXN-000049,COM-001,CLI-1-089,2025-05-03 16:01,1.25,0.83,0.42,Bebidas,Exitosa,QR Deuna
TXN-000050,COM-001,CLI-1-039,2025-05-03 19:26,3.75,2.39,1.36,Bebidas,Exitosa,QR Deuna
TXN-000051,COM-001,CLI-1-020,2025-05-03 09:22,0.7,0.47,0.23,Snacks,Exitosa,QR Deuna
TXN-000052,COM-001,CLI-1-076,2025-05-03 10:32,7.5,5.11,2.39,Granos,Exitosa,QR Deuna
TXN-000053,COM-001,CLI-1-025,2025-05-03 11:14,2.5,1.67,0.83,Bebidas,Exitosa,Transferencia
TXN-000054,COM-001,CLI-1-085,2025-05-03 19:27,0.7,0.45,0.25,Snacks,Exitosa,Transferencia
TXN-000055,COM-001,CLI-1-059,2025-05-03 16:38,2.1,1.3,0.8,Snacks,Exitosa,QR Deuna
TXN-000056,COM-001,CLI-1-062,2025-05-03 19:43,1.25,0.84,0.41,Bebidas,Exitosa,QR Deuna
TXN-000057,COM-001,CLI-1-080,2025-05-03 14:01,2.5,1.53,0.97,Granos,Exitosa,QR Deuna
TXN-000058,COM-001,CLI-1-071,2025-05-03 19:23,3.75,2.59,1.16,Bebidas,Exitosa,QR Deuna
TXN-000059,COM-001,CLI-1-051,2025-05-03 15:08,2.5,1.63,0.87,Bebidas,Exitosa,Transferencia
TXN-000060,COM-001,CLI-1-014,2025-05-03 18:37,3.75,2.33,1.42,Bebidas,Exitosa,QR Deuna
TXN-000061,COM-001,CLI-1-007,2025-05-03 09:29,7.5,4.92,2.58,Granos,Exitosa,Transferencia
TXN-000062,COM-001,CLI-1-060,2025-05-03 09:52,2.1,1.43,0.67,Snacks,Exitosa,QR Deuna
TXN-000063,COM-001,CLI-1-036,2025-05-03 15:36,0.7,0.43,0.27,Snacks,Exitosa,QR Deuna
TXN-000064,COM-001,CLI-1-014,2025-05-03 16:01,2.1,1.43,0.67,Snacks,Exitosa,QR Deuna
TXN-000065,COM-001,CLI-1-020,2025-05-03 12:01,0.7,0.42,0.28,Snacks,Exitosa,QR Deuna
TXN-000066,COM-001,CLI-1-006,2025-05-03 13:45,2.5,1.69,0.81,Granos,Exitosa,QR Deuna
TXN-000067,COM-001,CLI-1-020,2025-05-03 11:25,1.4,0.87,0.53,Snacks,Exitosa,QR Deuna
TXN-000068,COM-001,CLI-1-031,2025-05-03 15:12,5.0,3.21,1.79,Granos,Exitosa,QR Deuna
TXN-000069,COM-001,CLI-1-099,2025-05-03 15:13,3.75,2.43,1.32,Bebidas,Exitosa,QR Deuna
TXN-000070,COM-001,CLI-1-094,2025-05-04 16:20,3.75,2.42,1.33,Bebidas,Exitosa,QR Deuna
TXN-000071,COM-001,CLI-1-035,2025-05-04 10:33,2.1,1.38,0.72,Snacks,Exitosa,Transferencia
TXN-000072,COM-001,CLI-1-016,2025-05-04 15:25,5.0,3.4,1.6,Granos,Exitosa,QR Deuna
TXN-000073,COM-001,CLI-1-015,2025-05-04 12:48,2.5,1.6,0,Bebidas,Reversada,QR Deuna
TXN-000074,COM-001,CLI-1-022,2025-05-04 08:13,5.0,3.46,1.54,Granos,Exitosa,QR Deuna
TXN-000075,COM-001,CLI-1-091,2025-05-04 08:22,7.5,4.92,2.58,Granos,Exitosa,QR Deuna
TXN-000076,COM-001,CLI-1-089,2025-05-04 11:41,2.1,1.39,0.71,Snacks,Exitosa,Transferencia
TXN-000077,COM-001,CLI-1-084,2025-05-04 11:00,0.7,0.44,0.26,Snacks,Exitosa,QR Deuna
TXN-000078,COM-001,CLI-1-037,2025-05-04 19:46,7.5,4.53,2.97,Granos,Exitosa,QR Deuna
TXN-000079,COM-001,CLI-1-070,2025-05-04 08:34,3.75,2.49,1.26,Bebidas,Exitosa,QR Deuna
TXN-000080,COM-001,CLI-1-046,2025-05-04 14:24,3.75,2.4,1.35,Bebidas,Exitosa,QR Deuna
TXN-000081,COM-001,CLI-1-072,2025-05-04 16:12,2.5,1.67,0.83,Bebidas,Exitosa,QR Deuna
TXN-000082,COM-001,CLI-1-065,2025-05-04 09:01,1.4,0.88,0.52,Snacks,Exitosa,QR Deuna
TXN-000083,COM-001,CLI-1-045,2025-05-04 16:49,3.75,2.53,1.22,Bebidas,Exitosa,QR Deuna
TXN-000084,COM-001,CLI-1-032,2025-05-04 16:07,2.1,1.29,0.81,Snacks,Exitosa,QR Deuna
TXN-000085,COM-001,CLI-1-018,2025-05-04 18:36,2.5,1.52,0.98,Bebidas,Exitosa,QR Deuna
TXN-000086,COM-001,CLI-1-044,2025-05-04 12:15,5.0,3.04,1.96,Granos,Exitosa,QR Deuna
TXN-000087,COM-001,CLI-1-015,2025-05-04 17:11,0.7,0.49,0.21,Snacks,Exitosa,QR Deuna
TXN-000088,COM-001,CLI-1-040,2025-05-04 10:45,7.5,4.51,2.99,Granos,Exitosa,Transferencia
TXN-000089,COM-001,CLI-1-059,2025-05-04 17:32,2.5,1.56,0.94,Granos,Exitosa,Transferencia
TXN-000090,COM-001,CLI-1-085,2025-05-04 10:26,0.7,0.42,0,Snacks,Reversada,QR Deuna
TXN-000091,COM-001,CLI-1-033,2025-05-04 18:00,2.5,1.65,0.85,Bebidas,Exitosa,QR Deuna
TXN-000092,COM-001,CLI-1-057,2025-05-04 09:54,2.5,1.52,0.98,Granos,Exitosa,QR Deuna
TXN-000093,COM-001,CLI-1-050,2025-05-04 12:28,1.4,0.95,0.45,Snacks,Exitosa,Transferencia
TXN-000094,COM-001,CLI-1-095,2025-05-04 09:39,5.0,3.23,1.77,Granos,Exitosa,Transferencia
TXN-000095,COM-001,CLI-1-071,2025-05-04 14:14,1.25,0.78,0.47,Bebidas,Exitosa,QR Deuna
TXN-000096,COM-001,CLI-1-022,2025-05-05 14:13,1.25,0.8,0.45,Bebidas,Exitosa,QR Deuna
TXN-000097,COM-001,CLI-1-079,2025-05-05 12:22,5.0,3.46,1.54,Granos,Exitosa,QR Deuna
TXN-000098,COM-001,CLI-1-058,2025-05-05 11:19,1.25,0.81,0.44,Bebidas,Exitosa,QR Deuna
TXN-000099,COM-001,CLI-1-022,2025-05-05 15:43,2.1,1.38,0.72,Snacks,Exitosa,QR Deuna
TXN-000100,COM-001,CLI-1-008,2025-05-05 16:19,5.0,3.37,1.63,Granos,Exitosa,QR Deuna
TXN-000101,COM-001,CLI-1-053,2025-05-05 16:18,3.75,2.49,1.26,Bebidas,Exitosa,Transferencia
TXN-000102,COM-001,CLI-1-086,2025-05-05 16:14,7.5,4.76,2.74,Granos,Exitosa,QR Deuna
TXN-000103,COM-001,CLI-1-002,2025-05-05 11:35,2.1,1.35,0.75,Snacks,Exitosa,Transferencia
TXN-000104,COM-001,CLI-1-075,2025-05-05 11:13,1.4,0.96,0.44,Snacks,Exitosa,QR Deuna
TXN-000105,COM-001,CLI-1-023,2025-05-05 16:12,2.1,1.34,0.76,Snacks,Exitosa,QR Deuna
TXN-000106,COM-001,CLI-1-048,2025-05-05 09:29,3.75,2.28,1.47,Bebidas,Exitosa,QR Deuna
TXN-000107,COM-001,CLI-1-077,2025-05-05 11:20,2.1,1.37,0.73,Snacks,Exitosa,QR Deuna
TXN-000108,COM-001,CLI-1-040,2025-05-05 15:40,1.25,0.86,0.39,Bebidas,Exitosa,QR Deuna
TXN-000109,COM-001,CLI-1-053,2025-05-05 16:55,3.75,2.29,1.46,Bebidas,Exitosa,Transferencia
TXN-000110,COM-001,CLI-1-063,2025-05-05 15:29,2.1,1.3,0.8,Snacks,Exitosa,QR Deuna
TXN-000111,COM-001,CLI-1-013,2025-05-05 15:27,5.0,3.38,1.62,Granos,Exitosa,QR Deuna
TXN-000112,COM-001,CLI-1-009,2025-05-05 08:26,1.4,0.85,0.55,Snacks,Exitosa,QR Deuna
TXN-000113,COM-001,CLI-1-024,2025-05-05 14:06,2.1,1.27,0.83,Snacks,Exitosa,QR Deuna
TXN-000114,COM-001,CLI-1-045,2025-05-05 12:49,1.25,0.86,0.39,Bebidas,Exitosa,QR Deuna
TXN-000115,COM-001,CLI-1-056,2025-05-05 18:05,3.75,2.33,1.42,Bebidas,Exitosa,QR Deuna
TXN-000116,COM-001,CLI-1-041,2025-05-06 17:33,2.1,1.44,0.66,Snacks,Exitosa,QR Deuna
TXN-000117,COM-001,CLI-1-024,2025-05-06 15:18,5.0,3.13,1.87,Granos,Exitosa,QR Deuna
TXN-000118,COM-001,CLI-1-053,2025-05-06 15:10,5.0,3.1,1.9,Granos,Exitosa,QR Deuna
TXN-000119,COM-001,CLI-1-046,2025-05-06 11:00,5.0,3.48,1.52,Granos,Exitosa,Transferencia
TXN-000120,COM-001,CLI-1-026,2025-05-06 18:07,7.5,4.75,2.75,Granos,Exitosa,Transferencia
TXN-000121,COM-001,CLI-1-085,2025-05-06 18:06,1.4,0.93,0.47,Snacks,Exitosa,QR Deuna
TXN-000122,COM-001,CLI-1-048,2025-05-06 08:48,2.1,1.36,0.74,Snacks,Exitosa,QR Deuna
TXN-000123,COM-001,CLI-1-046,2025-05-06 13:26,2.1,1.33,0.77,Snacks,Exitosa,QR Deuna
TXN-000124,COM-001,CLI-1-060,2025-05-06 16:50,3.75,2.26,1.49,Bebidas,Exitosa,QR Deuna
TXN-000125,COM-001,CLI-1-007,2025-05-06 19:16,2.5,1.61,0.89,Bebidas,Exitosa,Transferencia
TXN-000126,COM-001,CLI-1-001,2025-05-06 13:59,1.25,0.76,0.49,Bebidas,Exitosa,QR Deuna
TXN-000127,COM-001,CLI-1-080,2025-05-06 17:03,5.0,3.05,1.95,Granos,Exitosa,QR Deuna
TXN-000128,COM-001,CLI-1-038,2025-05-06 09:58,1.25,0.86,0.39,Bebidas,Exitosa,QR Deuna
TXN-000129,COM-001,CLI-1-014,2025-05-06 15:53,3.75,2.58,1.17,Bebidas,Exitosa,QR Deuna
TXN-000130,COM-001,CLI-1-072,2025-05-06 13:35,2.5,1.69,0.81,Granos,Exitosa,QR Deuna
TXN-000131,COM-001,CLI-1-087,2025-05-06 18:59,0.7,0.49,0.21,Snacks,Exitosa,QR Deuna
TXN-000132,COM-001,CLI-1-069,2025-05-06 17:26,3.75,2.4,1.35,Bebidas,Exitosa,QR Deuna
TXN-000133,COM-001,CLI-1-062,2025-05-06 09:50,2.1,1.39,0.71,Snacks,Exitosa,QR Deuna
TXN-000134,COM-001,CLI-1-056,2025-05-07 11:20,2.5,1.74,0.76,Bebidas,Exitosa,QR Deuna
TXN-000135,COM-001,CLI-1-021,2025-05-07 09:23,5.0,3.02,1.98,Granos,Exitosa,QR Deuna
TXN-000136,COM-001,CLI-1-051,2025-05-07 11:12,1.25,0.8,0.45,Bebidas,Exitosa,QR Deuna
TXN-000137,COM-001,CLI-1-044,2025-05-07 09:44,0.7,0.44,0.26,Snacks,Exitosa,Transferencia
TXN-000138,COM-001,CLI-1-029,2025-05-07 10:12,2.1,1.33,0.77,Snacks,Exitosa,QR Deuna
TXN-000139,COM-001,CLI-1-071,2025-05-07 13:12,2.1,1.29,0.81,Snacks,Exitosa,QR Deuna
TXN-000140,COM-001,CLI-1-025,2025-05-07 17:18,2.5,1.62,0.88,Bebidas,Exitosa,QR Deuna
TXN-000141,COM-001,CLI-1-069,2025-05-07 15:40,3.75,2.38,1.37,Bebidas,Exitosa,QR Deuna
TXN-000142,COM-001,CLI-1-005,2025-05-07 19:06,0.7,0.44,0.26,Snacks,Exitosa,QR Deuna
TXN-000143,COM-001,CLI-1-027,2025-05-07 15:20,0.7,0.44,0.26,Snacks,Exitosa,QR Deuna
TXN-000144,COM-001,CLI-1-037,2025-05-07 09:18,0.7,0.49,0.21,Snacks,Exitosa,Transferencia
TXN-000145,COM-001,CLI-1-097,2025-05-07 08:01,0.7,0.48,0.22,Snacks,Exitosa,Transferencia
TXN-000146,COM-001,CLI-1-041,2025-05-07 16:53,1.25,0.83,0.42,Bebidas,Exitosa,QR Deuna
TXN-000147,COM-001,CLI-1-053,2025-05-07 18:36,5.0,3.27,1.73,Granos,Exitosa,QR Deuna
TXN-000148,COM-001,CLI-1-088,2025-05-08 13:12,2.1,1.35,0.75,Snacks,Exitosa,QR Deuna
TXN-000149,COM-001,CLI-1-070,2025-05-08 09:40,2.1,1.39,0.71,Snacks,Exitosa,QR Deuna
TXN-000150,COM-001,CLI-1-083,2025-05-08 08:30,2.5,1.62,0.88,Bebidas,Exitosa,QR Deuna
TXN-000151,COM-001,CLI-1-019,2025-05-08 13:07,5.0,3.2,1.8,Granos,Exitosa,QR Deuna
TXN-000152,COM-001,CLI-1-034,2025-05-08 11:29,1.25,0.8,0.45,Bebidas,Exitosa,QR Deuna
TXN-000153,COM-001,CLI-1-088,2025-05-08 10:25,1.25,0.75,0.5,Bebidas,Exitosa,QR Deuna
TXN-000154,COM-001,CLI-1-083,2025-05-08 14:18,1.25,0.84,0.41,Bebidas,Exitosa,QR Deuna
TXN-000155,COM-001,CLI-1-055,2025-05-08 13:55,2.1,1.35,0.75,Snacks,Exitosa,QR Deuna
TXN-000156,COM-001,CLI-1-028,2025-05-08 15:16,7.5,5.05,2.45,Granos,Exitosa,QR Deuna
TXN-000157,COM-001,CLI-1-099,2025-05-08 13:35,2.1,1.31,0.79,Snacks,Exitosa,QR Deuna
TXN-000158,COM-001,CLI-1-012,2025-05-08 19:49,3.75,2.35,1.4,Bebidas,Exitosa,QR Deuna
TXN-000159,COM-001,CLI-1-029,2025-05-08 12:54,2.1,1.35,0.75,Snacks,Exitosa,QR Deuna
TXN-000160,COM-001,CLI-1-093,2025-05-08 15:21,2.1,1.28,0.82,Snacks,Exitosa,Transferencia
TXN-000161,COM-001,CLI-1-090,2025-05-08 14:05,2.5,1.72,0.78,Bebidas,Exitosa,QR Deuna
TXN-000162,COM-001,CLI-1-016,2025-05-08 10:15,7.5,4.71,2.79,Granos,Exitosa,QR Deuna
TXN-000163,COM-001,CLI-1-042,2025-05-08 08:43,5.0,3.47,1.53,Granos,Exitosa,QR Deuna
TXN-000164,COM-001,CLI-1-037,2025-05-08 16:48,3.75,2.6,1.15,Bebidas,Exitosa,QR Deuna
TXN-000165,COM-001,CLI-1-092,2025-05-08 14:00,2.5,1.69,0.81,Granos,Exitosa,Transferencia
TXN-000166,COM-001,CLI-1-023,2025-05-08 08:47,0.7,0.46,0.24,Snacks,Exitosa,QR Deuna
TXN-000167,COM-001,CLI-1-072,2025-05-08 18:20,1.25,0.76,0,Bebidas,Reversada,QR Deuna
TXN-000168,COM-001,CLI-1-082,2025-05-08 09:28,1.25,0.75,0.5,Bebidas,Exitosa,QR Deuna
TXN-000169,COM-001,CLI-1-099,2025-05-08 11:02,1.25,0.84,0.41,Bebidas,Exitosa,QR Deuna
TXN-000170,COM-001,CLI-1-048,2025-05-08 15:28,0.7,0.43,0.27,Snacks,Exitosa,Transferencia
TXN-000171,COM-001,CLI-1-089,2025-05-08 14:54,7.5,5.08,2.42,Granos,Exitosa,Transferencia
TXN-000172,COM-001,CLI-1-010,2025-05-08 10:01,2.5,1.6,0.9,Bebidas,Exitosa,QR Deuna
TXN-000173,COM-001,CLI-1-066,2025-05-09 08:00,1.25,0.76,0.49,Bebidas,Exitosa,QR Deuna
TXN-000174,COM-001,CLI-1-040,2025-05-09 14:31,2.5,1.55,0.95,Bebidas,Exitosa,QR Deuna
TXN-000175,COM-001,CLI-1-013,2025-05-09 09:56,1.4,0.86,0.54,Snacks,Exitosa,Transferencia
TXN-000176,COM-001,CLI-1-018,2025-05-09 17:55,1.4,0.85,0.55,Snacks,Exitosa,QR Deuna
TXN-000177,COM-001,CLI-1-058,2025-05-09 10:37,0.7,0.48,0.22,Snacks,Exitosa,QR Deuna
TXN-000178,COM-001,CLI-1-091,2025-05-09 11:12,2.5,1.55,0.95,Granos,Exitosa,QR Deuna
TXN-000179,COM-001,CLI-1-063,2025-05-09 14:07,1.25,0.87,0.38,Bebidas,Exitosa,QR Deuna
TXN-000180,COM-001,CLI-1-048,2025-05-09 17:06,2.5,1.53,0.97,Granos,Exitosa,Transferencia
TXN-000181,COM-001,CLI-1-038,2025-05-09 12:34,0.7,0.47,0.23,Snacks,Exitosa,QR Deuna
TXN-000182,COM-001,CLI-1-041,2025-05-09 09:25,2.5,1.6,0.9,Bebidas,Exitosa,Transferencia
TXN-000183,COM-001,CLI-1-064,2025-05-09 15:12,2.1,1.29,0.81,Snacks,Exitosa,QR Deuna
TXN-000184,COM-001,CLI-1-033,2025-05-09 18:43,7.5,4.57,2.93,Granos,Exitosa,QR Deuna
TXN-000185,COM-001,CLI-1-091,2025-05-09 14:25,2.5,1.57,0.93,Bebidas,Exitosa,QR Deuna
TXN-000186,COM-001,CLI-1-020,2025-05-09 10:00,2.5,1.64,0.86,Granos,Exitosa,Transferencia
TXN-000187,COM-001,CLI-1-068,2025-05-09 18:09,7.5,5.2,2.3,Granos,Exitosa,QR Deuna
TXN-000188,COM-001,CLI-1-004,2025-05-09 15:44,5.0,3.07,1.93,Granos,Exitosa,QR Deuna
TXN-000189,COM-001,CLI-1-004,2025-05-09 18:07,7.5,4.98,2.52,Granos,Exitosa,QR Deuna
TXN-000190,COM-001,CLI-1-070,2025-05-09 13:07,7.5,5.0,2.5,Granos,Exitosa,QR Deuna
TXN-000191,COM-001,CLI-1-060,2025-05-09 10:21,2.5,1.71,0.79,Granos,Exitosa,QR Deuna
TXN-000192,COM-001,CLI-1-023,2025-05-09 11:41,2.1,1.34,0.76,Snacks,Exitosa,QR Deuna
TXN-000193,COM-001,CLI-1-068,2025-05-10 09:44,2.5,1.6,0.9,Bebidas,Exitosa,QR Deuna
TXN-000194,COM-001,CLI-1-076,2025-05-10 13:25,2.1,1.28,0.82,Snacks,Exitosa,QR Deuna
TXN-000195,COM-001,CLI-1-008,2025-05-10 19:37,0.7,0.42,0.28,Snacks,Exitosa,QR Deuna
TXN-000196,COM-001,CLI-1-051,2025-05-10 14:55,5.0,3.1,1.9,Granos,Exitosa,QR Deuna
TXN-000197,COM-001,CLI-1-041,2025-05-10 09:03,0.7,0.42,0.28,Snacks,Exitosa,QR Deuna
TXN-000198,COM-001,CLI-1-094,2025-05-10 09:46,2.5,1.61,0.89,Granos,Exitosa,QR Deuna
TXN-000199,COM-001,CLI-1-092,2025-05-10 12:14,0.7,0.49,0.21,Snacks,Exitosa,QR Deuna
TXN-000200,COM-001,CLI-1-031,2025-05-10 17:55,5.0,3.04,1.96,Granos,Exitosa,QR Deuna
TXN-000201,COM-001,CLI-1-072,2025-05-10 12:13,5.0,3.49,0,Granos,Reversada,QR Deuna
TXN-000202,COM-001,CLI-1-014,2025-05-10 10:11,0.7,0.42,0.28,Snacks,Exitosa,Transferencia
TXN-000203,COM-001,CLI-1-045,2025-05-10 19:07,1.25,0.76,0.49,Bebidas,Exitosa,QR Deuna
TXN-000204,COM-001,CLI-1-011,2025-05-10 09:51,2.1,1.45,0.65,Snacks,Exitosa,QR Deuna
TXN-000205,COM-001,CLI-1-066,2025-05-10 11:32,2.5,1.53,0,Bebidas,Reversada,QR Deuna
TXN-000206,COM-001,CLI-1-052,2025-05-10 19:07,7.5,4.55,2.95,Granos,Exitosa,QR Deuna
TXN-000207,COM-001,CLI-1-093,2025-05-10 16:56,1.25,0.77,0.48,Bebidas,Exitosa,Transferencia
TXN-000208,COM-001,CLI-1-086,2025-05-10 16:29,5.0,3.1,1.9,Granos,Exitosa,Transferencia
TXN-000209,COM-001,CLI-1-063,2025-05-10 10:18,0.7,0.44,0,Snacks,Reversada,QR Deuna
TXN-000210,COM-001,CLI-1-050,2025-05-10 15:27,7.5,4.74,2.76,Granos,Exitosa,QR Deuna
TXN-000211,COM-001,CLI-1-035,2025-05-10 18:56,3.75,2.51,1.24,Bebidas,Exitosa,Transferencia
TXN-000212,COM-001,CLI-1-063,2025-05-10 12:53,1.4,0.94,0.46,Snacks,Exitosa,QR Deuna
TXN-000213,COM-001,CLI-1-096,2025-05-10 18:23,0.7,0.44,0.26,Snacks,Exitosa,QR Deuna
TXN-000214,COM-001,CLI-1-044,2025-05-10 17:26,2.5,1.64,0.86,Bebidas,Exitosa,QR Deuna
TXN-000215,COM-001,CLI-1-007,2025-05-10 15:59,1.4,0.88,0.52,Snacks,Exitosa,QR Deuna
TXN-000216,COM-001,CLI-1-087,2025-05-10 08:39,2.5,1.6,0.9,Granos,Exitosa,QR Deuna
TXN-000217,COM-001,CLI-1-097,2025-05-10 12:51,5.0,3.14,1.86,Granos,Exitosa,Transferencia
TXN-000218,COM-001,CLI-1-006,2025-05-10 10:52,2.5,1.54,0.96,Bebidas,Exitosa,QR Deuna
TXN-000219,COM-001,CLI-1-054,2025-05-10 17:24,2.1,1.45,0.65,Snacks,Exitosa,QR Deuna
TXN-000220,COM-001,CLI-1-046,2025-05-10 16:11,2.5,1.68,0.82,Bebidas,Exitosa,QR Deuna
TXN-000221,COM-001,CLI-1-006,2025-05-10 17:40,2.5,1.64,0.86,Granos,Exitosa,QR Deuna
TXN-000222,COM-001,CLI-1-069,2025-05-10 19:39,1.4,0.92,0.48,Snacks,Exitosa,Transferencia
TXN-000223,COM-001,CLI-1-012,2025-05-11 15:26,1.25,0.75,0.5,Bebidas,Exitosa,QR Deuna
TXN-000224,COM-001,CLI-1-086,2025-05-11 08:54,1.25,0.77,0.48,Bebidas,Exitosa,QR Deuna
TXN-000225,COM-001,CLI-1-064,2025-05-11 10:39,1.25,0.83,0.42,Bebidas,Exitosa,Transferencia
TXN-000226,COM-001,CLI-1-067,2025-05-11 19:24,1.4,0.87,0.53,Snacks,Exitosa,QR Deuna
TXN-000227,COM-001,CLI-1-094,2025-05-11 15:17,2.5,1.71,0.79,Bebidas,Exitosa,Transferencia
TXN-000228,COM-001,CLI-1-055,2025-05-11 19:30,1.4,0.87,0.53,Snacks,Exitosa,QR Deuna
